model_name,date,spy_close,spy_change,leap_open,leap_premium_estimate,leap_daily_pnl,leap_cumulative_pnl,short_call_open,short_call_strike,short_call_entry_premium,short_call_mtm_value,short_call_daily_pnl,short_call_cumulative_pnl,total_daily_pnl,total_cumulative_pnl,action_taken,exit_reason
no_overwrite_baseline,2026-03-02,687.42,0.0,True,100.0,0.0,0.0,False,,,,0.0,0.0,0.0,0.0,hold,
no_overwrite_baseline,2026-03-03,684.12,-3.2999999999999545,True,97.52,-247.57,-247.57,False,,,,0.0,0.0,-247.57,-247.57,hold,
no_overwrite_baseline,2026-03-04,684.51,0.38999999999998636,True,97.82,29.17,-218.4,False,,,,0.0,0.0,29.17,-218.4,hold,
no_overwrite_baseline,2026-03-05,678.48,-6.029999999999973,True,93.29,-452.51,-670.91,False,,,,0.0,0.0,-452.51,-670.91,hold,
no_overwrite_baseline,2026-03-06,683.26,4.779999999999973,True,96.88,359.01,-311.9,False,,,,0.0,0.0,359.01,-311.9,hold,
no_overwrite_baseline,2026-03-09,679.45,-3.8099999999999454,True,94.02,-285.72,-597.62,False,,,,0.0,0.0,-285.72,-597.62,hold,
no_overwrite_baseline,2026-03-10,670.55,-8.900000000000091,True,87.34,-667.93,-1265.54,False,,,,0.0,0.0,-667.93,-1265.54,hold,
no_overwrite_baseline,2026-03-11,676.42,5.8700000000000045,True,91.75,440.55,-824.99,False,,,,0.0,0.0,440.55,-824.99,hold,
no_overwrite_baseline,2026-03-12,675.34,-1.0799999999999272,True,90.93,-81.53,-906.52,False,,,,0.0,0.0,-81.53,-906.52,hold,
no_overwrite_baseline,2026-03-13,674.49,-0.8500000000000227,True,90.3,-63.57,-970.1,False,,,,0.0,0.0,-63.57,-970.1,hold,
no_overwrite_baseline,2026-03-16,664.25,-10.240000000000009,True,82.62,-768.15,-1738.25,False,,,,0.0,0.0,-768.15,-1738.25,hold,
no_overwrite_baseline,2026-03-17,660.49,-3.759999999999991,False,79.8,-281.98,-2020.23,False,,,,0.0,0.0,-281.98,-2020.23,cash_or_flat,
no_overwrite_baseline,2026-03-18,667.21,6.720000000000027,True,105.04,504.13,-1516.1,False,,,,0.0,0.0,504.13,-1516.1,hold,
no_overwrite_baseline,2026-03-19,668.96,1.75,True,106.36,131.63,-1384.47,False,,,,0.0,0.0,131.63,-1384.47,hold,
no_overwrite_baseline,2026-03-20,659.63,-9.330000000000041,True,99.36,-700.09,-2084.56,False,,,,0.0,0.0,-700.09,-2084.56,hold,
no_overwrite_baseline,2026-03-23,658.0,-1.6299999999999955,True,98.14,-121.92,-2206.47,False,,,,0.0,0.0,-121.92,-2206.47,hold,
no_overwrite_baseline,2026-03-24,648.57,-9.42999999999995,True,91.06,-707.47,-2913.95,False,,,,0.0,0.0,-707.47,-2913.95,hold,
no_overwrite_baseline,2026-03-25,655.38,6.809999999999945,True,96.17,510.75,-2403.2,False,,,,0.0,0.0,510.75,-2403.2,hold,
no_overwrite_baseline,2026-03-26,653.18,-2.2000000000000455,True,94.52,-165.0,-2568.2,False,,,,0.0,0.0,-165.0,-2568.2,hold,
no_overwrite_baseline,2026-03-27,656.82,3.6400000000001,True,97.25,273.0,-2295.2,False,,,,0.0,0.0,273.0,-2295.2,hold,
always_overwrite_baseline,2026-03-02,687.42,-54.33000000000004,True,100.0,0.0,0.0,True,692.0,1.63,1.63,0.0,0.0,0.0,0.0,short_call_active,
always_overwrite_baseline,2026-03-03,684.12,-3.2999999999999545,True,97.52,-247.57,-247.57,True,689.0,1.76,1.76,60.1,60.1,-187.48,-187.48,short_call_active,
always_overwrite_baseline,2026-03-04,684.51,0.38999999999998636,True,97.82,29.17,-218.4,True,690.0,1.9,1.9,-45.07,15.03,-15.9,-203.37,short_call_active,
always_overwrite_baseline,2026-03-05,678.48,-6.029999999999973,True,93.29,-452.51,-670.91,True,683.0,1.8,1.8,145.36,160.38,-307.16,-510.53,short_call_active,
always_overwrite_baseline,2026-03-06,683.26,4.779999999999973,True,96.88,359.01,-311.9,True,688.0,2.15,2.15,-241.31,-80.92,117.71,-392.82,short_call_active,
always_overwrite_baseline,2026-03-09,679.45,-3.8099999999999454,True,94.02,-285.72,-597.62,True,686.0,2.45,2.45,25.3,-55.62,-260.41,-653.24,short_call_active,
always_overwrite_baseline,2026-03-10,670.55,-8.900000000000091,True,87.34,-667.93,-1265.54,True,676.0,2.13,2.13,206.24,150.62,-461.69,-1114.92,short_call_active,
always_overwrite_baseline,2026-03-11,676.42,5.8700000000000045,True,91.75,440.55,-824.99,True,682.0,2.04,2.04,-232.56,-81.94,207.99,-906.93,short_call_active,
always_overwrite_baseline,2026-03-12,675.34,-1.0799999999999272,True,90.93,-81.53,-906.52,True,680.0,2.21,2.21,40.82,-41.11,-40.71,-947.64,short_call_active,
always_overwrite_baseline,2026-03-13,674.49,-0.8500000000000227,True,90.3,-63.57,-970.1,True,680.0,2.4,2.4,-19.28,-60.39,-82.86,-1030.49,short_call_active,
always_overwrite_baseline,2026-03-16,664.25,-10.240000000000009,True,82.62,-768.15,-1738.25,True,670.0,2.25,2.25,194.74,134.35,-573.41,-1603.9,short_call_active,
always_overwrite_baseline,2026-03-17,660.49,-3.759999999999991,False,79.8,-281.98,-2020.23,False,,,,137.16,271.51,-144.82,-1748.72,cash_or_flat,
always_overwrite_baseline,2026-03-18,667.21,6.720000000000027,True,105.04,504.13,-1516.1,True,672.0,1.84,1.84,0.0,271.51,504.13,-1244.59,short_call_active,
always_overwrite_baseline,2026-03-19,668.96,1.75,True,106.36,131.63,-1384.47,True,674.0,2.18,2.18,-103.8,167.72,27.84,-1216.75,short_call_active,
always_overwrite_baseline,2026-03-20,659.63,-9.330000000000041,True,99.36,-700.09,-2084.56,True,665.0,1.88,1.88,183.06,350.77,-517.03,-1733.78,short_call_active,
always_overwrite_baseline,2026-03-23,658.0,-1.6299999999999955,True,98.14,-121.92,-2206.47,True,664.0,2.08,2.08,7.8,358.58,-114.11,-1847.89,short_call_active,
always_overwrite_baseline,2026-03-24,648.57,-9.42999999999995,True,91.06,-707.47,-2913.95,True,654.0,2.1,2.1,170.52,529.09,-536.96,-2384.85,short_call_active,
always_overwrite_baseline,2026-03-25,655.38,6.809999999999945,True,96.17,510.75,-2403.2,True,661.0,2.2,2.2,-305.64,223.46,205.11,-2179.74,short_call_active,
always_overwrite_baseline,2026-03-26,653.18,-2.2000000000000455,True,94.52,-165.0,-2568.2,True,658.0,2.2,2.2,81.49,304.94,-83.51,-2263.25,short_call_active,
always_overwrite_baseline,2026-03-27,656.82,3.6400000000001,True,97.25,273.0,-2295.2,True,662.0,2.42,2.42,-176.93,128.01,96.07,-2167.18,short_call_active,
heuristic_policy,2026-03-02,687.42,-54.33000000000004,True,100.0,0.0,0.0,True,692.0,1.63,1.63,0.0,0.0,0.0,0.0,short_call_active,
heuristic_policy,2026-03-03,684.12,-3.2999999999999545,True,98.14,-185.68,-185.68,True,689.0,1.76,1.76,60.1,60.1,-125.58,-125.58,short_call_active,
heuristic_policy,2026-03-04,684.51,0.38999999999998636,True,98.36,21.88,-163.8,True,690.0,1.9,1.9,-45.07,15.03,-23.19,-148.77,short_call_active,
heuristic_policy,2026-03-05,678.48,-6.029999999999973,True,94.97,-339.38,-503.18,True,683.0,1.8,1.8,145.36,160.38,-194.03,-342.8,short_call_active,
heuristic_policy,2026-03-06,683.26,4.779999999999973,True,97.66,269.26,-233.92,True,688.0,2.15,2.15,-241.31,-80.92,27.95,-314.85,short_call_active,
heuristic_policy,2026-03-09,679.45,-3.8099999999999454,True,95.52,-214.29,-448.21,True,686.0,2.45,2.45,25.3,-55.62,-188.98,-503.83,short_call_active,
heuristic_policy,2026-03-10,670.55,-8.900000000000091,True,90.51,-500.95,-949.16,True,676.0,2.13,2.13,206.24,150.62,-294.7,-798.53,short_call_active,
heuristic_policy,2026-03-11,676.42,5.8700000000000045,True,93.81,330.41,-618.74,True,682.0,2.04,2.04,-232.56,-81.94,97.86,-700.68,short_call_active,
heuristic_policy,2026-03-12,675.34,-1.0799999999999272,True,93.2,-61.15,-679.89,True,680.0,2.21,2.21,40.82,-41.11,-20.33,-721.01,short_call_active,
heuristic_policy,2026-03-13,674.49,-0.8500000000000227,True,92.72,-47.68,-727.57,True,680.0,2.4,2.4,-19.28,-60.39,-66.96,-787.97,short_call_active,
heuristic_policy,2026-03-16,664.25,-10.240000000000009,True,86.96,-576.12,-1303.69,True,670.0,2.25,2.25,194.74,134.35,-381.37,-1169.34,short_call_active,
heuristic_policy,2026-03-17,660.49,-3.759999999999991,True,84.85,-211.48,-1515.17,True,665.0,2.07,2.07,137.16,271.51,-74.32,-1243.66,short_call_active,
heuristic_policy,2026-03-18,667.21,6.720000000000027,True,88.63,378.09,-1137.08,True,672.0,1.84,1.84,-288.61,-17.1,89.49,-1154.17,short_call_active,
heuristic_policy,2026-03-19,668.96,1.75,True,89.62,98.73,-1038.35,True,674.0,2.18,2.18,-103.8,-120.89,-5.07,-1159.24,short_call_active,
heuristic_policy,2026-03-20,659.63,-9.330000000000041,True,84.37,-525.06,-1563.42,True,665.0,1.88,1.88,183.06,62.17,-342.01,-1501.25,short_call_active,
heuristic_policy,2026-03-23,658.0,-1.6299999999999955,True,83.45,-91.44,-1654.85,True,664.0,2.08,2.08,7.8,69.97,-83.63,-1584.88,short_call_active,
heuristic_policy,2026-03-24,648.57,-9.42999999999995,False,78.15,-530.61,-2185.46,False,,,,170.52,240.48,-360.09,-1944.97,cash_or_flat,
heuristic_policy,2026-03-25,655.38,6.809999999999945,True,105.11,510.75,-1674.71,True,661.0,2.2,2.2,0.0,240.48,510.75,-1434.22,short_call_active,
heuristic_policy,2026-03-26,653.18,-2.2000000000000455,True,103.87,-123.75,-1798.46,True,658.0,2.2,2.2,81.49,321.97,-42.26,-1476.49,short_call_active,
heuristic_policy,2026-03-27,656.82,3.6400000000001,True,105.92,204.75,-1593.71,True,662.0,2.42,2.42,-176.93,145.04,27.82,-1448.67,short_call_active,
hmm_v3_1_meta_blend,2026-03-02,687.42,-54.33000000000004,True,100.0,0.0,0.0,True,692.0,1.63,1.63,0.0,0.0,0.0,0.0,short_call_active,
hmm_v3_1_meta_blend,2026-03-03,684.12,-3.2999999999999545,True,98.14,-185.68,-185.68,True,689.0,1.76,1.76,60.1,60.1,-125.58,-125.58,short_call_active,
hmm_v3_1_meta_blend,2026-03-04,684.51,0.38999999999998636,True,98.36,21.88,-163.8,True,690.0,1.9,1.9,-45.07,15.03,-23.19,-148.77,short_call_active,
hmm_v3_1_meta_blend,2026-03-05,678.48,-6.029999999999973,True,94.97,-339.38,-503.18,True,683.0,1.8,1.8,145.36,160.38,-194.03,-342.8,short_call_active,
hmm_v3_1_meta_blend,2026-03-06,683.26,4.779999999999973,True,96.76,179.51,-323.68,True,688.0,2.15,2.15,-241.31,-80.92,-61.8,-404.6,short_call_active,
hmm_v3_1_meta_blend,2026-03-09,679.45,-3.8099999999999454,True,95.33,-142.86,-466.54,True,686.0,2.45,2.45,25.3,-55.62,-117.56,-522.16,short_call_active,
hmm_v3_1_meta_blend,2026-03-10,670.55,-8.900000000000091,True,93.66,-166.98,-633.52,True,676.0,2.13,2.13,206.24,150.62,39.26,-482.9,short_call_active,
hmm_v3_1_meta_blend,2026-03-11,676.42,5.8700000000000045,True,94.77,110.14,-523.38,True,682.0,2.04,2.04,-232.56,-81.94,-122.42,-605.31,short_call_active,
hmm_v3_1_meta_blend,2026-03-12,675.34,-1.0799999999999272,True,94.56,-20.38,-543.76,True,680.0,2.21,2.21,40.82,-41.11,20.44,-584.88,short_call_active,
hmm_v3_1_meta_blend,2026-03-13,674.49,-0.8500000000000227,True,94.24,-31.79,-575.55,True,680.0,2.4,2.4,-19.28,-60.39,-51.07,-635.94,short_call_active,
hmm_v3_1_meta_blend,2026-03-16,664.25,-10.240000000000009,True,92.32,-192.04,-767.59,True,670.0,2.25,2.25,194.74,134.35,2.71,-633.24,short_call_active,
hmm_v3_1_meta_blend,2026-03-17,660.49,-3.759999999999991,True,91.62,-70.49,-838.08,True,665.0,2.07,2.07,137.16,271.51,66.67,-566.57,short_call_active,
hmm_v3_1_meta_blend,2026-03-18,667.21,6.720000000000027,True,92.88,126.03,-712.05,True,672.0,1.84,1.84,-288.61,-17.1,-162.58,-729.15,short_call_active,
hmm_v3_1_meta_blend,2026-03-19,668.96,1.75,True,93.54,65.82,-646.23,True,674.0,2.18,2.18,-103.8,-120.89,-37.98,-767.13,short_call_active,
hmm_v3_1_meta_blend,2026-03-20,659.63,-9.330000000000041,True,90.04,-350.04,-996.28,True,665.0,1.88,1.88,183.06,62.17,-166.99,-934.11,short_call_active,
hmm_v3_1_meta_blend,2026-03-23,658.0,-1.6299999999999955,True,89.43,-60.96,-1057.23,True,664.0,2.08,2.08,7.8,69.97,-53.15,-987.27,short_call_active,
hmm_v3_1_meta_blend,2026-03-24,648.57,-9.42999999999995,True,87.66,-176.87,-1234.1,True,654.0,2.1,2.1,170.52,240.48,-6.35,-993.62,short_call_active,
hmm_v3_1_meta_blend,2026-03-25,655.38,6.809999999999945,True,90.21,255.37,-978.73,True,661.0,2.2,2.2,-305.64,-65.15,-50.26,-1043.88,short_call_active,
hmm_v3_1_meta_blend,2026-03-26,653.18,-2.2000000000000455,True,89.8,-41.25,-1019.98,True,658.0,2.2,2.2,81.49,16.34,40.24,-1003.64,short_call_active,
hmm_v3_1_meta_blend,2026-03-27,656.82,3.6400000000001,True,90.48,68.25,-951.73,True,662.0,2.42,2.42,-176.93,-160.59,-108.68,-1112.32,short_call_active,
hmm_v4_path_aware_meta,2026-03-02,687.42,-54.33000000000004,True,100.0,0.0,0.0,True,692.0,1.63,1.63,0.0,0.0,0.0,0.0,short_call_active,
hmm_v4_path_aware_meta,2026-03-03,684.12,-3.2999999999999545,True,97.52,-247.57,-247.57,True,689.0,1.76,1.76,60.1,60.1,-187.48,-187.48,short_call_active,
hmm_v4_path_aware_meta,2026-03-04,684.51,0.38999999999998636,True,97.82,29.17,-218.4,True,690.0,1.9,1.9,-45.07,15.03,-15.9,-203.37,short_call_active,
hmm_v4_path_aware_meta,2026-03-05,678.48,-6.029999999999973,True,93.29,-452.51,-670.91,True,683.0,1.8,1.8,145.36,160.38,-307.16,-510.53,short_call_active,
hmm_v4_path_aware_meta,2026-03-06,683.26,4.779999999999973,True,96.88,359.01,-311.9,True,688.0,2.15,2.15,-241.31,-80.92,117.71,-392.82,short_call_active,
hmm_v4_path_aware_meta,2026-03-09,679.45,-3.8099999999999454,True,94.02,-285.72,-597.62,True,686.0,2.45,2.45,25.3,-55.62,-260.41,-653.24,short_call_active,
hmm_v4_path_aware_meta,2026-03-10,670.55,-8.900000000000091,True,87.34,-667.93,-1265.54,True,676.0,2.13,2.13,206.24,150.62,-461.69,-1114.92,short_call_active,
hmm_v4_path_aware_meta,2026-03-11,676.42,5.8700000000000045,True,91.75,440.55,-824.99,True,682.0,2.04,2.04,-232.56,-81.94,207.99,-906.93,short_call_active,
hmm_v4_path_aware_meta,2026-03-12,675.34,-1.0799999999999272,True,90.93,-81.53,-906.52,True,680.0,2.21,2.21,40.82,-41.11,-40.71,-947.64,short_call_active,
hmm_v4_path_aware_meta,2026-03-13,674.49,-0.8500000000000227,True,90.3,-63.57,-970.1,True,680.0,2.4,2.4,-19.28,-60.39,-82.86,-1030.49,short_call_active,
hmm_v4_path_aware_meta,2026-03-16,664.25,-10.240000000000009,True,82.62,-768.15,-1738.25,True,670.0,2.25,2.25,194.74,134.35,-573.41,-1603.9,short_call_active,
hmm_v4_path_aware_meta,2026-03-17,660.49,-3.759999999999991,False,79.8,-281.98,-2020.23,False,,,,137.16,271.51,-144.82,-1748.72,cash_or_flat,
hmm_v4_path_aware_meta,2026-03-18,667.21,6.720000000000027,True,105.04,504.13,-1516.1,True,672.0,1.84,1.84,0.0,271.51,504.13,-1244.59,short_call_active,
hmm_v4_path_aware_meta,2026-03-19,668.96,1.75,True,106.36,131.63,-1384.47,True,674.0,2.18,2.18,-103.8,167.72,27.84,-1216.75,short_call_active,
hmm_v4_path_aware_meta,2026-03-20,659.63,-9.330000000000041,True,99.36,-700.09,-2084.56,True,665.0,1.88,1.88,183.06,350.77,-517.03,-1733.78,short_call_active,
hmm_v4_path_aware_meta,2026-03-23,658.0,-1.6299999999999955,True,98.14,-121.92,-2206.47,True,664.0,2.08,2.08,7.8,358.58,-114.11,-1847.89,short_call_active,
hmm_v4_path_aware_meta,2026-03-24,648.57,-9.42999999999995,True,91.06,-707.47,-2913.95,True,654.0,2.1,2.1,170.52,529.09,-536.96,-2384.85,short_call_active,
hmm_v4_path_aware_meta,2026-03-25,655.38,6.809999999999945,True,96.17,510.75,-2403.2,True,661.0,2.2,2.2,-305.64,223.46,205.11,-2179.74,short_call_active,
hmm_v4_path_aware_meta,2026-03-26,653.18,-2.2000000000000455,True,94.52,-165.0,-2568.2,True,658.0,2.2,2.2,81.49,304.94,-83.51,-2263.25,short_call_active,
hmm_v4_path_aware_meta,2026-03-27,656.82,3.6400000000001,True,97.25,273.0,-2295.2,True,662.0,2.42,2.42,-176.93,128.01,96.07,-2167.18,short_call_active,
