horizon,realized_state,count,percent
1,HIGH_VOL_RISK_OFF,2,0.0273972602739726
1,MID_VOL_CHOP,17,0.2328767123287671
1,STABLE_LOW_VOL_TREND,17,0.2328767123287671
1,VOL_EXPANSION_TRANSITION,37,0.5068493150684932
2,HIGH_VOL_RISK_OFF,4,0.0547945205479452
2,MID_VOL_CHOP,8,0.1095890410958904
2,STABLE_LOW_VOL_TREND,25,0.3424657534246575
2,VOL_EXPANSION_TRANSITION,36,0.4931506849315068
3,HIGH_VOL_RISK_OFF,6,0.08333333333333333
3,MID_VOL_CHOP,7,0.09722222222222222
3,STABLE_LOW_VOL_TREND,25,0.3472222222222222
3,VOL_EXPANSION_TRANSITION,34,0.4722222222222222
